>A
M
937.0;-454.0	412.0;-454.0
362.475;-1398.105	368.5;-1392.5
368.5;-1392.5	383.54499999999996;-1373.675
383.54499999999996;-1373.675	393.28;-1352.6000000000001
393.28;-1352.6000000000001	397.705;-1329.275
397.705;-1329.275	398.0;-1321.0
398.0;-1321.0	395.34499999999997;-1296.8799999999999
395.34499999999997;-1296.8799999999999	387.38;-1274.92
387.38;-1274.92	374.105;-1255.1200000000001
374.105;-1255.1200000000001	368.5;-1249.0
368.5;-1249.0	349.67499999999995;-1233.6999999999998
349.67499999999995;-1233.6999999999998	328.6;-1223.8
328.6;-1223.8	305.275;-1219.3
305.275;-1219.3	297.0;-1219.0
297.0;-1219.0	272.88;-1221.7
272.88;-1221.7	250.92000000000002;-1229.8000000000002
250.92000000000002;-1229.8000000000002	231.12;-1243.3
231.12;-1243.3	225.0;-1249.0
225.0;-1249.0	209.7;-1268.08
209.7;-1268.08	199.8;-1289.32
199.8;-1289.32	195.29999999999998;-1312.72
195.29999999999998;-1312.72	195.0;-1321.0
195.0;-1321.0	197.65499999999997;-1345.075
197.65499999999997;-1345.075	205.62;-1366.9
205.62;-1366.9	218.89499999999998;-1386.475
218.89499999999998;-1386.475	224.5;-1392.5
224.5;-1392.5	243.41499999999996;-1407.545
243.41499999999996;-1407.545	264.76;-1417.28
264.76;-1417.28	288.53499999999997;-1421.705
288.53499999999997;-1421.705	297.0;-1422.0
297.0;-1422.0	297.0;-1422.0
Z
M
380.0;-943.0	380.0;-207.0
380.0;-207.0	381.12499999999994;-160.575
381.12499999999994;-160.575	384.5;-124.5
384.5;-124.5	390.125;-98.775
390.125;-98.775	392.5;-92.5
392.5;-92.5	401.0799999999999;-76.705
401.0799999999999;-76.705	411.82000000000005;-63.52
411.82000000000005;-63.52	424.71999999999997;-52.94500000000001
424.71999999999997;-52.94500000000001	429.5;-50.0
429.5;-50.0	447.84499999999997;-42.86
447.84499999999997;-42.86	473.48;-38.24
473.48;-38.24	506.405;-36.14
506.405;-36.14	519.0;-36.0
519.0;-36.0	519.0;-0.0
519.0;-0.0	74.0;-0.0
74.0;-0.0	74.0;-36.0
74.0;-36.0	110.24;-37.17
110.24;-37.17	138.56;-40.68000000000001
138.56;-40.68000000000001	158.96;-46.529999999999994
158.96;-46.529999999999994	164.0;-49.0
164.0;-49.0	176.94499999999996;-58.33
176.94499999999996;-58.33	188.18;-70.72
188.18;-70.72	197.70499999999998;-86.16999999999999
197.70499999999998;-86.16999999999999	200.5;-92.0
200.5;-92.0	207.385;-114.94999999999999
207.385;-114.94999999999999	211.84;-147.8
211.84;-147.8	213.865;-190.54999999999998
213.865;-190.54999999999998	214.0;-207.0
214.0;-207.0	214.0;-560.0
214.0;-560.0	213.18999999999997;-639.9499999999999
213.18999999999997;-639.9499999999999	210.76;-701.0
210.76;-701.0	206.70999999999998;-743.15
206.70999999999998;-743.15	205.0;-753.0
205.0;-753.0	200.07999999999998;-770.4449999999999
200.07999999999998;-770.4449999999999	193.72;-784.38
193.72;-784.38	185.92;-794.8050000000001
185.92;-794.8050000000001	183.0;-797.5
183.0;-797.5	173.01;-803.8749999999999
173.01;-803.8749999999999	161.04;-808.0
161.04;-808.0	147.09;-809.875
147.09;-809.875	142.0;-810.0
142.0;-810.0	124.11999999999998;-808.6499999999999
124.11999999999998;-808.6499999999999	104.08;-804.6000000000001
104.08;-804.6000000000001	81.88000000000001;-797.8499999999999
81.88000000000001;-797.8499999999999	74.0;-795.0
74.0;-795.0	60.0;-831.0
60.0;-831.0	336.0;-943.0
336.0;-943.0	380.0;-943.0
380.0;-943.0	380.0;-943.0
Z
>m
M
336.0;-748.0	388.62;-800.3499999999998
388.62;-800.3499999999998	426.48;-837.4000000000001
426.48;-837.4000000000001	449.5799999999999;-859.15
449.5799999999999;-859.15	454.0;-863.0
454.0;-863.0	481.62999999999994;-884.27
481.62999999999994;-884.27	510.52;-902.48
510.52;-902.48	540.67;-917.63
540.67;-917.63	551.0;-922.0
551.0;-922.0	582.11;-932.7099999999999
582.11;-932.7099999999999	613.04;-939.6400000000001
613.04;-939.6400000000001	643.79;-942.79
643.79;-942.79	654.0;-943.0
654.0;-943.0	703.4399999999999;-938.4999999999999
703.4399999999999;-938.4999999999999	748.56;-925.0
748.56;-925.0	789.36;-902.5
789.36;-902.5	802.0;-893.0
802.0;-893.0	835.5099999999999;-858.9499999999998
835.5099999999999;-858.9499999999998	861.6399999999999;-816.8
861.6399999999999;-816.8	880.3899999999999;-766.55
880.3899999999999;-766.55	885.0;-748.0
885.0;-748.0	943.9199999999998;-812.5749999999999
943.9199999999998;-812.5749999999999	997.08;-862.3
997.08;-862.3	1044.48;-897.175
1044.48;-897.175	1059.0;-905.5
1059.0;-905.5	1101.96;-924.6249999999999
1101.96;-924.6249999999999	1145.64;-937.0
1145.64;-937.0	1190.04;-942.625
